Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"An e-payment service allows users to purchase online and transfer money securely. They log into the
website to perform the transactions and they log out. The website needs to check if their sessions are
idle for 10 minutes, means they did not perform any action or they opened a new link within the
website. In case of idle session, the website ends their session for security purposes.You need to build a Dataflow pipeline to aggregate session events received from the website and
detect sessions idle more than 10 minutes to get their sessions expired.
Which windowing function you should choose to design the pipeline?",Fixed-time window with duration of 10 minutes.,Sliding-time window with duration of 10 minutes,Per-session window with time gap duration of 10 minutes.,Single global window with time-based trigger of 10 minutes.,,,3,Google cloud certified professional Data Engineer,5
"You have several Dataflow pipelines streaming data for transformation and further analysis. At one
point of the transformation, there is a need for two pipelines to share data among pipeline instances.
You need to modify the architecture to allow data sharing between different pipelines.
How should this requirement be met in Google Cloud?", Enable data sharing option when creating Dataflow pipeline.,"Grant pipeline instances the right IAM roles to access other pipelines instances for
data sharing.",Use Google Storage to share data with other pipeline instances.,"Data sharing among Dataflow pipelines is only possible if instances reside in same
region.",,,3,Google cloud certified professional Data Engineer,5
"You are building a data pipeline using Google Dataflow SDK. This pipeline is going to perform
operations on data using conditional and for loops creating a branch pipeline.
Which of the following concepts should be used to achieve this?",ParDo,Pcollection,Transform,Pipeline,,,3,Google cloud certified professional Data Engineer,5
"A multinational company has multiple Google Storage buckets in different regions around the world.
Each branch has its own set of buckets in the region nearest to them to avoid latencies.
However, this led to a problem for the analytics team to reach and do the necessary reports on the
data using BigQuery since they need to create the tables in the same region either to import the data
or create external tables to access the data in different regions. The head of data decided to sync the
data daily from different Google Storage buckets scattered in different regions to a single multiregional
bucket to do the necessary data analysis and reporting.
Which service could help with this approach?",Appliance Transfer Service,gsutil,gsutil,Dataflow,,,3,Google cloud certified professional Data Engineer,5
"A company is migrating its current infrastructure from on-premise to Google cloud. It stores over
280TB of data on its on-premise HDFS servers. You were tasked to move data from HDFS to Google
Storage in a secure and efficient manner. Which of the following approaches are best to fulfill this
task?","Install Google Storage gsutil tool on servers and copy the data from HDFS to Google
Storage.",Use Cloud Data Transfer Service to migrate the data to Google Storage.,"Import the data from HDFS to BigQuery. Then, export the data to Google Storage in
AVRO format.",Use Transfer Appliance Service to migrate the data to Google Storage.,,,4,Google cloud certified professional Data Engineer,5
"A company is moving its data center from its on-premise servers to the cloud. It was estimated that
they have about 2 Petabytes of data to be moved and security team is very concerned the data should
be migrated securely and project manager has a timeline of 6 months for the whole migration to be
done.
Which of the following approaches is best to do the job?",Appliance Transfer Service,Google Storage (Coldline).,Cloud Transfer Service,Datastore.,,,1,Google cloud certified professional Data Engineer,5
"A company plans to move its 250TB of data from their on-premise FTP servers to the cloud. The
security team wants to make sure the data is transferred securely. Data transfer should be a one-time
migration. Data team reported the data should be accessed by clients in Asia.
Which of the following is the best approach?","Use Transfer Appliance Service for one-time migration to Google Storage.
Google Storage bucket should be multi-regional in Asia.","Use Transfer Appliance Service for one-time migration to Google Storage. Google
Storage bucket should be in Tokyo region","Use Storage Transfer Service for one-time migration to Google Storage. Google
Storage bucket should be multi-regional in Asia.","Use Storage Transfer Service for one-time migration to Google Storage. Google
Storage bucket should be in Tokyo region.",,,1,Google cloud certified professional Data Engineer,5
"You have been using BigTable instance with HDD as storage type. You want to increase the
performance of the instance by changing the storage type to SSD. You want to make sure the data will
not be lost. How can you achieve that?","Use Dataflow to export data from the existing BigTable instance to the new
instance.","From Google Cloud console UI, you can switch the storage type from HDD to SDD.
Data will be moved to new storage type. Instance will be inaccessible by this time
until migration is complete.","From Google Cloud console UI, you can switch the storage type from HDD to SDD.
Data will be moved to new storage type. Instance will be in read-only mode by this
time until migration is complete.",You need to change the instance from development to production.,,,1,Google cloud certified professional Data Engineer,5
"You use BigQuery as the main data warehouse. You decided to perform advanced data transformation
of the data. You want to use Dataproc with Apache Spark to do the transformation. How can you
enable Dataproc’s access to data in BigQuery?","Install Dataproc’s BigQuery connector on the cluster using initialization actions.
Dataproc temporarily loads data from BigQuery to Google Storage. If failed,
Dataproc deletes temp files before finishing the job.","Install Dataproc’s BigQuery connector on the cluster using initialization actions.
Dataproc temporarily loads data from BigQuery to Google Storage. If failed, you
need to manually delete temp files.","Dataproc cannot directly connect to BigQuery. You should export data from
BigQuery to Google Storage first. Dataproc can then read data from Google Storage.
You need to manually delete data files after Dataproc is done.",Dataproc can connect to BigQuery if you set the cluster as owner to the dataset,,,2,Google cloud certified professional Data Engineer,5
"You have a Dataflow pipeline to run and process set of data files received from a client for
transformation and load data into data warehouse. This pipeline should run at 7am everyday so
metrics can be ready by 9am when client’s management can browse latest stats based on provided
data.
Which service you should use to schedule Dataflow pipeline?",Cloud Functions,Compute Engine,Kubernetes Engine,Kubernetes Engine,,,4,Google cloud certified professional Data Engineer,5
"You have the following legacy SQL query in BigQuery:
# legacy SQL SELECT
order_date,
COUNT(DISTINCT customer_id)) AS customers
FROM
[my-project:orders.orders_2018]
GROUP BY
order_date ORDER BY
order_date;
How can you convert this query to standard SQL?",Change table syntax to `my-project:orders.orders_2018',Change table syntax to `my-project.orders.orders_2018',Change table syntax to [my-project.orders.orders_2018],No change required. This works fine if standard SQL is enabled.,,,2,Google cloud certified professional Data Engineer,5
"What is the keyword in BigQuery standard SQL used when selecting from multiple tables with
wildcard by their suffices?",_WILDCARD_SUFFIX,_TABLES_SUFFIX,_SUFFIX,_TABLE_SUFFIX,,,4,Google cloud certified professional Data Engineer,5
"A weather forecasting facility receives events from its 25,000 sensors every 10 seconds. Those events
are stored in Google Storage in JSON format. Events can have different attributes based on purpose,location and brand. Data Science team wants to apply their SQL-queries on this data for further
transformation and forecasting analysis.
Which of the following approaches is best to satisfy Data Scientists request?",Load the data directly to BigQuery with enabling “auto-detect” option,"Build a dataflow pipeline to read JSON data and transform it to a structured format
like CSV. Then, load the data to BigQuery.","Import the data to BigTable. Choose combination #eventType-location-brand to
differentiate between different events.","Use Dataproc cluster and create Hive external clusters on the data for data
scientists to query data.",,,1,Google cloud certified professional Data Engineer,5
Which of the following statements is not true about BigQuery:,You cannot upload multiple tables at the same time.,Uploading data is free of charge. Streaming data is not.,Use window functions instead of cross joins for better performance.,You can upload data in SQL format.,,,4,Google cloud certified professional Data Engineer,5
"Your company uses BigQuery as their main data warehouse. Recently, data team has proposed a new
schema for existing tables: They want to modify some column names to a more meaningful ones. You
are tasked to help data team apply the necessary changes on BigQuery’s tables schemas. How can
you achieve this?",Modify column names for each table using ALTER command,"Export data for tables with schema changes to Google Storage. Create a new table
with the new schema. Import data to new table from Google Storage.",Create views on BigQuery tables with new column names.,"Create a new table in BigQuery with the new schema. Insert data from existing
tables to the new tables using INSERT SELECT statement.",,,4,Google cloud certified professional Data Engineer,5
"A pharmaceutical factory has over 100,000 different sensors generating JSON-format events every 10
seconds to be collected. You need to gather the event data for sensor & time series analysis.
Which database is best used to collect event data?",Google Storage,Cloud Spanner,BigTable,Datastore,,,3,Google cloud certified professional Data Engineer,5
"An e-payment company collects its service payment transaction events from its app installed in
nearly 200,000 devices. Those events need to be stored for further time-series analysis and fraud
detection. Which of the following approaches is recommended to implement?","Use Google Storage to store data. Use Dataproc with Apache Hive to do required
queries on data","Use Cloud SQL as a database. Make sure you launch a multi-regional instance for
higher peformance.","Use BigTable as a database. Use short & wide tables when designing the schema
and row key.","Use BigTable as a database. Use tall & narrow tables when designing the
schema and row key.",,,4,Google cloud certified professional Data Engineer,5
"A company wants to use NoSQL database for storing its system logs. The system can generate
thousands of logs every minute. Those logs are occasionally read by security team in case of possible
anomaly behavior or developers for debugging purposes. Due to system’s architecture, system logs
are not structured and can be different between different components.
Which database do you suggest be used for this scenario?",Use BigTable as a database with HDD storage to store system logs.,Use BigTable as a database with SSD storage to store system logs.,Use Datastore as a database to store system logs.,Use Firebase as a database to store system logs.,,,1,Google cloud certified professional Data Engineer,5
"You design a pipeline for your company. You want to find a solution to store event data generated in
CSV format. The goal is to SQL-query data over time window.
Which storage and schema design should you use recommended by Google?","Use Google Storage to store event data and use BigQuery to create external
tables referencing event data and partitioned by time window.","Use Google Storage to store event data and use DataPrep jobs to partition data by
time windows.","Use BigTable for storage and design tall and narrow tables adding each event as
single row.","Use BigTable for storage and design short and wide tables adding each event as
single row.",,,1,Google cloud certified professional Data Engineer,5
"A company specializes in monitoring and distributing data about road traffic for more than 60 cities.
Data is used by navigation apps to notify users of traffic congestion on their destination routes and
alert them of road accidents. There are thousands of queries running to write new events and read
events for analysis and get the latest stats on road traffic.
Which of the following is the best option for this scenario?",Cloud Spanner,BigQuery,Datastore,BigTable,,,4,Google cloud certified professional Data Engineer,5
"Analytics team receives data from different data sources stored in Google Storage. The team wants to
query the data for required ETL operations which they will fully take care of using SQL. They wantyour advice on what is the best approach recommended by Google to do it. What would you suggest?","Batch load the data from Google Storage into BigQuery using its batch API, run
cleansing and transformation queries on data and insert the transformed rows to
another BigQuery table.","Batch load the data from Google Storage into BigQuery using its batch API, run
cleansing and transformation queries on data and export the data to Google
Storage. Launch Dataproc cluster and use Hive to query the transformed data.","Create external tables on data using BigQuery, apply the cleansing and
transformation queries on data then load the output to an internal BigQuery
table for reporting and visualization.","Create external tables on data using BigQuery, apply the cleansing and
transformation queries on data then load the output to BigTable for reporting and
visualization",,,3,Google cloud certified professional Data Engineer,5
"You want to import data into BigQuery. You used Google Cloud’s BigQuery UI to import the data. You
selected a comma-delimiter CSV file from your local machine to upload and enabled “automatically
detect” for BigQuery to predict the schema of the table. When you checked the data, you found a
skew in data and it’s not properly distributed.
What can be the reason for the skew in the table?","CSV file is not UTF-8 encoded. You need to convert the CSV file’s encoding and load
it again.","CSV file is not UTF-8 encoded. You need to explicitly specify the encoding
when loading data so it can be converted to UTF-8",File size exceeds 1GB. You need to break the file into smaller chunks.,You need to explicitly specify the delimiter of CSV file when loading the data.,,,2,Google cloud certified professional Data Engineer,5
Which of the following statements is not true about Dataproc?,You can change number of preemptible workers for existing clusters,Dataproc charges by the second.,You cannot store data in preemptible nodes.,You can change workers instance type for existing clusters.,,,4,Google cloud certified professional Data Engineer,5
"Your team is planning to perform tests on Cloud BigTable instance to ensure the performance quality
of the BigTable instance to be used in production. Which of the following conditions should be met to
consider the performance testing valid? (Choose 3)",Use development instance for testing,Run a heavy pre-test for several minutes before the test starts,Scale up the instance just before the test starts.,Use at least 300GB of data.,Do not scale up the instance just before the test starts.,Test should take no longer than 10 minutes,"2,4&5",Google cloud certified professional Data Engineer,5
"Your team decided to use BigTable for storing event data. The engineer responsible of launching and
testing the instance has reported a slower performance than expected by Google Cloud
documentation. Which of the following could be a factor for the slow performance? (Choose 3)
Explanation:
Answers: A, B & F
There are several factors that can cause Cloud Bigtable to perform more slowly than expected:
The table's schema is not designed correctly. To get good performance from Cloud BigTable, it's
essential to design a schema that makes it possible to distribute reads and writes evenly across each
table.
The workload isn't appropriate for Cloud BigTable. If you test with a small amount (< 300 GB) of data,
or if you test for a very short period of time (seconds rather than minutes or hours), Cloud BigTable
won't be able to balance your data in a way that gives you good performance.
The rows",The rows in the tables tested contain high number of cells.,The rows in the tables have large data size.,Test data size is over 300GB.,The instance uses SSD storage type.,Heavy pre-test was done before the testing started.,The instance doesn’t have enough nodes,"1,2&6",Google cloud certified professional Data Engineer,5
"A fast-food chain restaurant wants to detect the different meal photos its customers upload to the
different social media platforms tagged with their name in order to know what meals customers like
and share the most for better quality analysis.
It asks your advice on developing such solution for them. However, they want it to be available and in
production the soonest possible because they expect a high activity on their social media pages by
the next public holiday which is coming in 2 weeks and marketing team finds it a great opportunity to
receive feedback based on what customers say online.
What is the best approach for this?","Use AutoML Vision to build and train the model by using all the training photos you
collected from food-chain’s social media pages for better results.","Use AutoML Vision to build and train the model by using 50-70% of training
photos you collected from food-chain’s social media pages while the rest of
training set is to test and tune the model.","Use Dataproc to build the model using SparkML. Use 50-70% of training photos you
collected to train the model and the rest to test and tune the model. Deploy the
model using Cloud ML Engine.","Use Cloud ML Engine with TensorFlow to build the model. Use all training photos
you collected to train the model. Deploy the model using Cloud ML Engine.",,,2,Google cloud certified professional Data Engineer,5
"A video-on-demand company wants to generate subtitles for its content on the web. They have over
20,000 hours of content to be subtitled and their current subtitle team cannot catch up with the
every- growing video hours the content team keep adding to the website library. They want a solution
to automate this as man power can be expensive and may take long time.
Which service of the following can greatly help the automation of video subtitles?",Cloud Natural Language.,Cloud Speech-to-Text.,AutoML Vision API.,Machine Learning Engine.,,,2,Google cloud certified professional Data Engineer,5
"A financial services firm providing products such as credit cards and bank loans receives thousands of
online applications from clients applying for their products. Because it takes a lot of effort to scan and
check all applications if they meet the minimum requirements for the products they are applying for,
they want to build a machine learning model takes application fields like annual income, marital
status, date of birth, occupation and other attributes as input and finds out if the applicant is qualified
for the product the client applies for.
What is the machine learning technique will help build such model?",Regression,Classification,Clustering,Reinforcement learning,,,2,Google cloud certified professional Data Engineer,5
"You have built a machine learning model to classify if a customer would buy a certain product when
recommended by the company’s website. You trained the model with a sample set. Upon testing the
model, you found out only 28% of the testing sets are actually true positives and the model isn’t very
accurate. You figured out the model is over-fitted. How would you solve this?","Increase training data, increase feature parameters & increase regularization.","Decrease training data, decrease feature parameters & increase regularization.","Increase training data, decrease feature parameters & increase regularization.","Increase training data, decrease feature parameters & decrease regularization.",,,3,Google cloud certified professional Data Engineer,5
"A coach line bus service company wants to predict how many passengers they expect to book for
tickets on their buses for the upcoming months. This helps the company to know how many buses
they need to be in service for maintenance and fuel and how many drivers to be available. The
company has data sets of all booked tickets since its launch in 1968 and it allows private sharing of
the data if this helps the prediction process.
You will build the machine learning model for the coach line company. Which technique you will use
to predict the number of passengers in the next months?",Regression.,Association.,Classification.,Clustering.,,,1,Google cloud certified professional Data Engineer,5
"You are building a machine learning model to solve a classification problem. The model should
identify if a patient has a tumor. Based on statistics, only 1.4% of scanned patients are identified
positive for tumor.
You want to make sure the machine learning model is able to correctly identify patients with tumor.
What is the technique to examine the effectiveness of the model?",Gradient Descent,Precision,Recall,Dropout,,,3,Google cloud certified professional Data Engineer,5
Which of the following vectors are sparse vectors and used for categorical features:,"[1, 0, 1, 0]","[1, 0, 0, 1]","[0, 1, 0]","[0, 1, 0, 3, 0]",,,3,Google cloud certified professional Data Engineer,5
"You are training a Tensorflow deep neural network model. The model should recognize different type
of cars and return the brand and type of the car from the image input. While training, you decided to
perform hyper-parameter tuning to optimize the model.
Which of the variables are used for hyperparameter tuning? (Choose 2)",Number of nodes in hidden layers,Number of features,Number of hidden layers,2Weight values,,,1&3,Google cloud certified professional Data Engineer,5
"Data scientists of your company has finished building their deep neural network model. As a data
engineer, you are asked to deploy the model to production. Which of the following products in Google
Cloud you would use to host the model?",Google Kubernetes Engine,Google ML Deep Learning VM,Google Container Registry,Google Machine Learning Engine,,,4,Google cloud certified professional Data Engineer,5
"Data science team has successfully built a deep neural network machine learning model to detect car
plate numbers entering and exiting a parking lot of a high-rise condominium. The model was built
using Tensorflow and the model was exported as SavedModel. As a data engineer, you are assigned
to deploy their model. The company is using Google Cloud for their project.
Which approach is best for deploying the detection model?","Upload SavedModel object to Google Storage. Use Dataproc with Spark ML to use
the model by accessing it using Google Storage Connector","Deploy the model to Google Kubernetes Engine after wrapping SavedModel as
docker image and uploading it to Google Container Registry.","Deploy the model to Cloud ML Engine after asking data science team to convert the
model to binary format using PyTorch.",Deploy the model exported as SavedModel directly to Cloud ML Engine.,,,4,Google cloud certified professional Data Engineer,5
"You are asked by the data science team to deploy their Tensorflow deep neural network model to the
cloud. You choose Cloud ML Engine as the product to deploy the model with. Upon checking the
available tiers, you decided to choose a custom tier launching a cluster with custom specifications to
cover the requirements provided to deploy the model.
Which of the following specifications you can set for the ML Engine cluster? (Choose 2)",workerCount,masterCount,masterCPU,workerType,,,1&4,Google cloud certified professional Data Engineer,5
"You launched a Dataproc cluster to perform some Apache Spark jobs. You are looking for a method to
securely transfer web traffic data between your machine’s web browser and Dataproc cluster.
How can you achieve this?",FTP connection,SSH tunnel,VPN connection, Incognito mode,,,2,Google cloud certified professional Data Engineer,5
"There is a plan by data team to migrate the data warehouse to BigQuery. After the migration is done,
you are tasked to assign each user the right role to access datasets in BigQuery. You have the
following teams need to access data warehouse:Data analysts: They need read/write access to data. They should not create or delete datasets.
Data engineers: They are admins on the data warehouse. They need full privileges on data sets.
Dev team: They need read access only to the datasets. They can list the project’s data sets and tables. How would you assign the roles to each team?","Assign admin role to data engineer group. Assign owner role to data analyst group.
Assign viewer role to dev team group.","Assign owner role to data engineer group. Assign editor role to data analyst group.
Assign user role to dev team group.","Assign admin role to data engineer group. Assign editor role to data analyst
group. Assign viewer role to dev team group.","Assign owner role to data engineer group. Assign editor role to data analyst group.
Assign viewer role to dev team group.",,,3,Google cloud certified professional Data Engineer,5
"Your company uses BigQuery as the main data warehouse. Data warehouse is divided into several
datasets based on data origin and profile. Data analysts want to access certain data resides in a
dataset considered sensitive and should not be openly available to all users. Security team allows
only certain tables with limited columns for data analysts to read from.
Which of the following actions will you take?","Create a new dataset in BigQuery. Create authorized views on tables data
analysts want to read from. Grant viewer role to data analysts on new dataset.","Create authorized views on tables data analysts want to read from on the same
dataset tables reside in. Grant viewer role to marketing team on the views.","Grant data analysts viewer role on these specific tables with specifying what
columns to be read from.","Create a new dataset in BigQuery. Grant viewer role to data analysts on the new
dataset. Copy the tables from the current dataset to the new one with only columns
allowed.",,,1,Google cloud certified professional Data Engineer,5
"You are writing highly-confidential data related to customers’ personally identifiable information (PII).
The security team is concerned about how secure the network connection between the instances and
Google Storage buckets. Security team proposes to use encryption keys generated by security team.
Those keys will be rotated every 30 days for more security.
As a data engineer, what should you do to satisfy security team’s requirement?","Upload encryption key provided by security team to Cloud Key Management Service
(KMS) and use the key to encrypt data when writing to Google Storage.","Create symmetric keys using Cloud Key Management Service (KMS) and use those
to encrypt data when writing to Google Storage. Create new keys every 30 days.","Create asymmetric keys using Cloud Key Management Service (KMS) and use those
to encrypt data when writing to Google Storage. Create new keys every 30 days.","Supply the encryption key provided by security team and reference it as part of
the API service calls to encrypt data in Cloud Storage.",,,4,Google cloud certified professional Data Engineer,5
"You have about 20TB of data which is not accessed and the data team decided to archive them in the
cloud. The team is looking for a storage solution that is highly available with minimum costs. On the
other hand, the data may be accessed a few times a year for reconciliation purposes.
Which of the following choices best satisfy data team’s requirements?",Google Storage Standard,Google Storage Nearline,Google Storage Coldline.,Google Storage Archive,,,2,Google cloud certified professional Data Engineer,5
"You have a complex data pipeline which has a combination of shell scripts, python code and spark
jobs. These task are scheduled by cron jobs to run. The problem with this approach is, in case of
failure, the whole pipeline breaks and failure control with stopping next tasks from running after a
certain task fails and re-running the pipeline again is difficult and messy. You want a solution which
can manage the pipeline’s different jobs to be failure-resilient, scalable and easy to monitor.
What approach is best for this scenario?",Use Cloud Composer to orchestrate the pipeline workflow.,"Use Dataproc for Apache Spark jobs and migrate all other tasks to use Apache Spark
instead.",Use Cloud Scheduler to schedule pipeline’s tasks.,Use Dataflow to re-build the data pipeline.,,,1,Google cloud certified professional Data Engineer,5
"A social media platform stores various details of their platform users such as session login time, URLs
visited, activities on platform and other logs. With GDPR (General Data Protection Regulation)
compliance to be officially implemented, the platform now allows users to download their activity
logs from their profile settings which they can click a button to call an API to generate a full report.
Recently, users are complaining timeouts after 60 seconds of requesting to download their activity
logs at peak hours when the platform has the most traffic. They have to try for several minutes or even
hours for the API to return their report available for download.
How can you solve this issue?","Increase timeout for API at peak times to 120 seconds. If it keeps failing, try
increasing the timeout until the issue is resolved.","Build a Dataflow pipeline to generate daily reports of users’ activity logs. Users can
download those daily reports whenever they want to.",Migrate data source to Cloud Spanner for horizontal scaling to avoid query timeouts.,"Use Pub/sub to pull the requests for activity logs from users. Send a link to
users by their email addresses with a temporary download link for them to
access their report",,,4,Google cloud certified professional Data Engineer,5
"You are building a streaming data pipeline for a VOD (Video-on-demand) service company. It receives
event data from its player app sending details of what users are watching, video state (play, pause,
loading) and other metrics can be derived from the device used such as OS, brand and screen
resolution.
The event data collected should be analyzed by most recent data for quality check and further action
in case of streaming issues. How can you ingest the stream data?","Use Cloud Pub/Sub to ingest the events and attach a unique ID to every event in the
publisher.","Use Cloud Pub/Sub to ingest the events and attach timestamp to every event
in the publisher.","Use Cloud Pub/Sub to ingest the events and store them to BigTable without any
enrichment. Pub/Sub publisher automatically adds timestamp to messages before
publishing to subscribers.",Launch a compute engine and install Apache Kafka to ingest the event stream.,,,2,Google cloud certified professional Data Engineer,5
"Data analysts are using Google Data Studio to build dashboards reading data from BigQuery as a data
source. The CTO wants to minimize the costs of BigQuery queries run by dashboards. You suggested
enabling predictive (pre-fetch) caching.
Which of the following will minimize the costs?","Restrict data fetch to be once every 24 hours and make sure Data Studio report has
view credentials on the BigQuery dataset.","Enable pre-fetch caching for the report and make sure Data Studio report has view
credentials on the BigQuery dataset.","Enable pre-fetch caching for the report and make sure Data Studio report is an
owner on the BigQuery dataset.","Restrict data fetch to be once every 24 hours and make sure Data Studio report is an
owner on the BigQuery dataset.",,,3,Google cloud certified professional Data Engineer,5
"Restrict data fetch to be once every 24 hours and make sure Data Studio report is an
owner on the BigQuery dataset.","Use online prediction when using the model. Batch prediction supports
asynchronous requests.","Use batch prediction when using the model. Batch prediction supports
asynchronous requests.","Use batch prediction when using the model to return the results as soon as
possible.","Use online prediction when using the model to return the results as soon as
possible.",,,2,Google cloud certified professional Data Engineer,5
"A facility receives events from sensors return current temperature based on sensor’s location. You are
asked to build a pipeline to aggregate the incoming events to get the average temperature every 60
seconds for each region.",Fixed-time window with duration of 60 seconds,Sliding-time window with duration of 60 seconds,Per-session window with time gap duration of 60 seconds.,Single global window with time-based trigger of 60 seconds.,,,2,Google cloud certified professional Data Engineer,5
