Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
"Your company policies require encryption of sensitive data at rest. You are considering the
possible options for protecting data while storing it at rest on an EBS data volume,
attached to an EC2 instance. Which of these options would allow you to encrypt your data
at rest?
Choose 3 options from the below",Implement third party volume encryption tools,Do nothing as EBS volumes are encrypted by default,Encrypt data inside your applications before storing it on EBS,"Encrypt data using native data encryption drivers at the file system
level",Implement SSL/TLS for all services running on the server,,"1,3&4",AWS Archi Professional,5
"You require the ability to analyze a customer’s clickstream data on a website so they can
do the behavioral analysis. Your customer needs to know what sequence of pages and
ads their customer clicked on. This data will be used in real time to modify the page
layouts as customers click through the site to increase stickiness and advertising clickthrough.
Which option meets the requirements for captioning and analyzing this data?","Log clicks in weblogs by URL and store it in Amazon S3, and then analyze
with Elastic MapReduce","Push web clicks by session to Amazon Kinesis and analyze behavior
using Kinesis workers",Write click events directly to Amazon Redshift and then analyze with SQL,"Publish web clicks by session to an Amazon SQS queue and periodically
drain these events to Amazon RDS and analyze with sql.",,,2,AWS Archi Professional,5
"To follow the new security compliances your company has hired an external auditor to
assess the security perimeter around your SaaS platform. The application is running in
multiple regions and uses the load balancers within each regions for higher availability.
The instances loads sensitive configurations from an S3 bucket at start and the DynamoDB
is used as primary database. The auditor has advised to further tighten the security groups
and NACLs based on the application requirement and use the private network instead of
using the public endpoints to access the AWS services. Your team decided to use the VPC
Endpoints as it uses the AWS internal network for all the communication, after detail
examination they realised the current architecture will not allow them to use the VPC
endpoints as it is and will require a set of modifications. Please select three valid
modifications:","Configure the DynamoDB Global Tables to replicate the data into
multi-regions","Create VPC Endpoints for S3 and DynamoDB and modify the route
tables for all the availability zones used by the auto scaling group","Use the NAT Gateway for all the egress communication to these AWS
services","Setup VPC gateway endpoint for S3 and interface endpoint for DynamoDB
to communicate with these services over the private AWS network","Use the S3 Cross Region Replication to save the configurations in the
multiple regions",,"1,2&5",AWS Archi Professional,5
"Your organization is planning to shift one of the high-performance data analytics
application running on Linux servers purchased from the 3rd party vendor to the AWS.
Currently, the application works in an on-premise load balancer and all the data is stored
in a very large shared file system for low-latency and high throughput purpose. The
management wants minimal disruption to existing service and also wants to do stepwise
migration for easy rollback. Please select valid options from below","Save all the data on S3 and use it as shared storage, use an application load
balancer with EC2 instances to share the processing load","Create a RAID 1 storage using EBS and run the application on EC2 with
application-level load balancers to share the processing load","Use the VPN or Direct Connect to create a link between your company
premise and AWS regional data center","Create an EFS with provisioned throughput and share the storage
between your on-premise instances and EC2 instances","Setup a Route 53 record to distribute the load between on-premise
and AWS load balancer with the weighted routing policy",,"3,4&5",AWS Archi Professional,5
"You work for an AWS consulting company and are required to provide a cost control for a
customer’s AWS resources. This customer has owned various applications which have
used over 100 DynamoDB tables. For the below cases, which ones should you consider
using On Demand capacity for DynamoDB? Select 3.","New applications whose DynamoDB database workload is very
complex to forecast","An application has large spikes sometimes however with very short
duration","A long term monitor program that has stable read/write traffic for a
DynamoDB table","The read/write throughput for a DynamoDB database is quite steady in
weekdays and getting a 20% increase in weekends.",An application with serverless stacks with pay-per-use pricing model.,,"1,2&5",AWS Archi Professional,5
"A customer is hosting their company website on a cluster of web servers that are behind a
public-facing load balancer. The customer also uses Amazon Route 53 to manage their
public DNS. How should the customer configure the DNS zone apex record to point to the
load balancer?",Create an A record pointing to the IP address of the load balancer,Create a CNAME record pointing to the load balancer DNS name,Create a CNAME record aliased to the load balancer DNS name.,Create an alias record that points to your load balancer,,,4,AWS Archi Professional,5
"By default, when an EBS volume is attached to a Windows instance, it may show up as any
drive letter on the instance. Which of the following services can be used to change the
settings of the drive letters of the EBS volumes as per your specifications?",EBSConfig Service,AMIConfig Service,EC2Config,EC2-AMIConfig Service,,,3,AWS Archi Professional,5
"You are designing the network infrastructure for an application server in Amazon VPC.
Users will access all the application instances from the Internet as well as from an onpremises
network. The on-premises network is connected to your VPC over an AWS
Direct Connect link. How would you design routing to meet the above requirements?","Configure a single routing table with a default route via the Internet
gateway. Propagate a default route via BGP on the AWS Direct Connect
customer router. Associate the routing table with all VPC subnets.","Configure a single routing table with a default route via the Internet
gateway. Propagate specific routes for the on-premises networks via
BGP on the AWS Direct Connect customer router. Associate the
routing table with all VPC subnets.","Configure a single routing table with two default routes: one to the Internet
via an Internet gateway the other to the on-premises network via the VPN
gateway. Use this routing table across all subnets in your VPC.","Configure two routing tables: one that has a default route via the Internet
gateway, and another that has a default route via the VPN gateway.
Associate both routing tables with each VPC subnet.",,,2,AWS Archi Professional,5
"You are a development lead and your team has maintained an emailing service for the
company’s major applications. The emailing service is deployed on-premise with several
RDS on VMware databases to store users’ metadata. There is no plan to migrate the onpremise
RDS databases to AWS RDS. However you need an appropriate approach to
backup the databases to AWS so that the database can be quickly restored. Which steps
should you take to fulfill this requirement? (Select THREE)","Specify an automated backup every day to store the snapshot to S3
bucket so that the backup has high availability and durability","Configure a read-replica in the same region as the VPC that the RDS on
VMware instance connects to. Read-replica cannot be created in other
regions","Create an automated backup schedule in RDS and save the daily snapshots
to AWS Glacier for long term backup","Create a read-replica in additional region for disaster recovery as long
as the region supports RDS","Create backups by replicating the RDS on-premise instance to RDS in
AWS.",,"1,4&5",AWS Archi Professional,5
"Your team is building up a smart home iOS APP. The end users have used your company’s
camera-equipped home devices such as baby monitors, webcams, and home surveillance
systems. Then the videos are uploaded to AWS Kinesis. Afterwards, through the mobile
APP, users can play the on-demand or live videos using the format of HTTP Live
Streaming (HLS). Which combinations of steps should you use accomplish this task?
(Select TWO)","Create a Kinesis Data Firehose to ingest, durably store and encrypt the live
videos from the users’ home devices","Create a Kinesis video stream to capture, store, and index the videos
from the camera-equipped home devices.","Transform the stream data to HLS compatible data by using Kinesis Data
Analytics or customer code in EC2/Lambda. Then in the mobile application,
use HLS protocol to display the video stream by using the converted HLS
streaming data.","In the mobile application, use HLS to display the video stream by using
the HLS streaming session URL",,,2&4,AWS Archi Professional,5
"An IOT company has a new product which is a camera device. The device has installed
several sensors and can record video as required. The device has AWS Kinesis Video
Streams SDK in the software and is able to transmit recorded video in real time to AWS
Kinesis. Then the end users can use a desktop or web client to view, download or share
the video stream. The client app should be simple and use a third-party player such as
Google Shaka Player to display the video stream from Kinesis. How should the client app
be designed?","The client can use HTTP Live Streaming (HLS) for live playback. Use
GetMedia API to process and play Kinesis video streams.","The client can use HLS for live playback. Use
GetHLSStreamingSessionURL API to retrieve the HLS streaming
session URL then provide the URL to the video player","The client can use Adobe HTTP Dynamic Streaming (HDS) for live playback.
Use GetHDSStreamingSessionURL API to retrieve the HDS streaming
session URL then provide the URL to the video player","The client can use Microsoft Smooth Streaming (MSS) for live playback.
Use GetMSSStreaming API to retrieve the MSS streaming to the video
player.",,,2,AWS Archi Professional,5
"You are hired as an AWS solutions architect in a startup company. You notice that there
are some issues for the backup strategy of EC2 instances and there is no snapshot
lifecycle management at all. Users just create snapshots manually without a routine policy
to control. You want to suggest to use a proper EBS Snapshot Lifecycle policy. How would
you persuade your team lead to approve this suggestion? (Select TWO)","A snapshot lifecycle policy helps to retain backups as required by
auditors or internal compliance","An EBS Snapshot Lifecycle helps to protect valuable data by enforcing
a regular backup schedule","A proper snapshot lifecycle policy is able to reduce storage costs as the
snapshots taken by the schedule policy are free","User can design their own schedule to backup snapshots according to
different requirements, such as every 1 week, 2 weeks etc",,,1&2,AWS Archi Professional,5
"A communication company has deployed several EC2 instances in region ap-southeast-1
which are used to monitor user activities. The AWS administrator has configured an EBS
lifecycle policy to create a snapshot every day for each EBS volume to preserve data. The
retention is configured as 5 which means the oldest snapshot will be deleted after 5 days.
The administrator plans to copy some snapshots to another region ap-southeast-2 as
these snapshots contain some important data. Are these new snapshots in the new region
retained with this method?","These new snapshots may be deleted after the retention period as they are
still affected by the retention policy.","These new snapshots can be kept only when they are copied to another
region otherwise they may be deleted by the retention policy. In this case,
the snapshots can be kept","These new snapshots can be kept as the retention schedule is not
carried over to the copy","The new snapshots in region ap-southeast-2 will be deleted after 5 days
unless the delete protection option is enabled",,,3,AWS Archi Professional,5
"An IT company has a big data analytics application that is deployed in EC2 in multiple
availability zones. These EC2 instances simultaneously access a shared Amazon EFS file
system using a traditional file permissions model. A recent internal security audit has
found that there is a potential security risk as the EFS file system is not encrypted for
either at rest or in transit. What actions could be taken to address the potential security
threat posed by non encryption of the EFS volume?","The encryption of data at rest has to be enabled when the Amazon
EFS file system is created. The encryption of data in transit can be
enabled when the file system is mounted in EC2 instance","The encryption of data at rest and in transit can be enabled when the
Amazon EFS file system is created","The encryption of data at rest and in transit can only be enabled when the
Amazon EFS file system is mounted in EC2 instance.","The encryption of data at rest is able to be enabled when the Amazon EFS
file system is mounted in EC2 instance. The encryption of data in transit is
enabled when the EFS file system is created using AWS console or CLI.",,,1,AWS Archi Professional,5
"For application development and testing purpose, your team has created several EFS
volumes recently. You, as the AWS operation engineer, have been assigned a task to
mount these EFS file systems to EC2 linux instances with encryption enabled in transit.
You have already installed the EFS mount helper in the instances. To use the mount
helper properly to mount the EFS volumes, which actions should you perform? (Select
THREE)","Get that EFS file system's ID from the console or programmatically
through the Amazon EFS API","Make sure that the security group of EC2 instances has opened the port 443
for SSL traffic","In your virtual private cloud (VPC) availability zones of EC2 instances,
mount targets are needed to be created first for EFS volumes","In the EC2’s subnets, create a rule in network ACL to allow HTTPS traffic so
that encryption in transit between EC2 and EFS file system is allowed","When the mount helper utility is used, add the encryption option which
is “-o tls”.",,"1,3&5",AWS Archi Professional,5
"You are an AWS consultant in an IT company. Your development manager just assigned
you a task to evaluate if the EBS volume types of the EC2 instances were properly
configured in all regions. The major concern that you have found is that almost all EBS
volumes are using the Provisioned IOPS SSD (io1) volume type which costs the company a
lot. You plan to change the volume type from io1 to other types. However, for which
scenarios should you still use the EBS volume type of io1?","A boot volume of a test server which is frequently used by the Quality
Assurance team.","A Cassandra database which needs extremely low latency and high
performance when being processed.","A data warehouse server that contains huge amount of customer data. The
data needs to be accessed and analyzed by a monitor process frequently","Some large and legacy cold data which is stored to trace customers’
activities in the past. The database requires fewer scans per day.",,,2,AWS Archi Professional,5
"An AWS Solutions Architect has noticed that their company is using almost exclusively
EBS General Purpose SSD (gp2) volume types for their EBS volumes. They are considering
modifying the type of some of these volumes, but it is important that performance is not
affected. Which of the following actions could the Solutions Architect consider? (Select
TWO)","A 50GB gp2 root volume can be modified to an EBS Provisioned IOPS
SSD (io1) without stopping the instance.","A gp2 volume that is attached to an instance as a root volume needs can be
modified to a Throughput Optimized HDD (st1) volume.","A 1GB gp2 volume that is attached to an instance as a non-root volume can
be modified to a Cold HDD (sc1) volume","A 1TB gp2 volume that is attached to an instance as a non-root volume
can be modified to a Throughput Optimized HDD (st1) volume without
stopping the instance or detaching the volume",,,1&4,AWS Archi Professional,5
"You work in a video game company and your team is working on a feature that tells how
many times that certain web pages have been viewed or clicked. You also created an
AWS Lambda function to show some key statistics of the data. You tested the Lambda
function and it worked perfectly.
However, your team lead requires you to show the statistics every day at 8:00AM GMT on
a big TV screen so that when employees come in to the office every morning, they have a
rough idea of how the feature runs. What is the most cost efficient and straightforward
way for you to make this happen?","Create an AWS CloudWatch Events rule that is scheduled using a cron
expression as “00 08 * * ? *”. Configure the target as the Lambda
function","Create an Amazon linux EC2 T2 instance and set up a Cron job using
Crontab. Use AWS CLI to call your AWS Lambda every 8:00AM.","Use Amazon Batch to set up a job with a job definition that runs every
8:00AM for the Lambda function","In AWS CloudWatch Events console, click “Create Event” using the cron
expression “ * ? * * 08 00”. Configure the target as the Lambda function",,,1,AWS Archi Professional,5
"A company has its major business on selling second-hand products and its online trading
system is deployed on AWS EC2 instances. In Route53, a domain name has been
configured to route the traffic to a Classic Load Balancer. As Classic Load Balancer is quite
old and in AWS there are new types of Load Balancers which Classic Load Balancer can
be easily migrated to, the operation team decides to migrate the Load Balancer. They
want all the connections between clients and EC2 instances be kept secure using
certificates that they created and also want a secure data encryption in transit between
the clients and EC2 instances. Which choices should be used together to meet the needs?
Select 2 Options","In “Create Load Balancer” console, create an Application Load Balancer and
add a listener with protocol TLS and port 443 so that the TLS connections
terminate at the Load Balancer.","Go to the Load Balancer console, create a Network Load Balancer with
a listener that listens to the traffic with protocol as TLS and port as 443","Create an Application Load Balancer with a listener that listens to the traffic
with protocol as HTTPS and port 80.","For the new Load Balancer, select the target protocol as HTTPS and port as
443, which set up the connections with targets securely","For the new Load Balancer, select the target protocol as TLS and port
as 443. As a result, the connections between Load Balancer and
targets are secure",,2&5,AWS Archi Professional,5
"Which of the following can be done by Auto scaling?
Choose 2 answers from the options given below:",Launch EC2 instances when CPU utilization is above the threshold,Terminate EC2 instances when CPU utilization is below the threshold,Increase the instance size when utilization is above the threshold.,Decrease the instance size when utilization is below the threshold,,,1&2,AWS Archi Professional,5
"You are an AWS administrator. Your company has two key EC2 instances owned by AWS
account A. The users in AWS account B may start/stop these EC2 instances from time to time. These users are under the same IAM user group called “Group_QA”. You already
created an across AWS accounts role “EC2Update” in account A.
And in account B, “Group_QA” has been added an inline policy to assume the role of
“EC2Update”. After users in AWS account B login in, which approaches are valid for these
users to switch to the role “EC2Update” in account A? (Select TWO)","With AWS CLI, the user calls the AssumeRoleWithSAML function to obtain
credentials for the “EC2Update” role.","The user chooses the account name on the navigation bar and clicks
“Switch Role”. The user specifies the account ID (or alias) and role
name","The user can click on a link sent in email by the administrator which
takes the user to the Switch Role page with the details already filled in.
The link can be found when the role “EC2Update” was created","In AWS console, the user clicks its account name and chooses “Switch
Accounts”. The user then specifies the account ID, key credentials and the
role name for account A.",,,2&3,AWS Archi Professional,5
"Your company is running a premium photo-sharing application. Users can upload their
creative photos and license them to be used by others. The application allows the users to
watermark and do other signatures before the images can be visible to everyone in the
public stream. The watermarking and signature is based on the user selected plan and
allows to do a certain number of images in a given timeframe. Along with this, the company has collaboration with some users and groups, and they are allowed to process
images faster compared to others whenever they submit their images.
The application is currently saving the images into S3 when uploaded and from there it
generates the Lambda trigger to process the images. However, the application is not able
to manage the different pipeline of work and need some ordered processing. The
management has decided to re-engineer the application to effectively support the above
requirements.","Use SQS queues instead of Lambda Trigger. Use the priority order
messages to process the images","Save the processing information to DynamoDB before saving the image to
S3. When the AWS Lambda trigger runs, pull the information from
DynamoDB and process accordingly","Use two SQS queues instead of Lambda Trigger. One with high priority
messages and another for the low priority messages. Check for the
messages into the high priority queue before processing any
messages from the low priority queue","Use the AWS Batch to create jobs with priority job queues and use the
combination of EC2 On-Demand and Spot instances to process the
messages",,,3,AWS Archi Professional,5
"A user has created a VPC with CIDR 20.0.0.0/16. The user has created one subnet with
CIDR 20.0.0.0/16 in this VPC. The user is trying to create another subnet with the same
VPC for CIDR 20.0.0.0/24. What will happen in this scenario?",It will throw a CIDR overlap error,It is not possible to create a subnet with the same CIDR as the VPC,The second subnet will be created,The VPC will modify the first subnet to allow this IP range,,,1,AWS Archi Professional,5
"Currently, a company uses Redshift to store its analyzed data. They have started with the
base configuration. What would they get when they initially start using Redshift?",Two nodes with 320GB each,One node of 320GB,2 Nodes with 160 GB each,One node of 160GB,,,3,AWS Archi Professional,5
"Your company has developed a Serverless web and mobile application which allows
users to upload and monetize video courses. The application is using the API Gateway and
Lambda as the front-end stack and uses MongoDB as the database, all the video content
is stored in the S3 and served via the CloudFront. The MongoDB is hosted outside of the
AWS environment as a 3rd party database service. After the initial launch, the company
started receiving the performance related issues for some of their popular courses.
The operations team runs an uplink monitor to make sure the database is connected and
bandwidth is optimal. The management has decided to run some analytics to check how
each request from web or mobile is performing in real-time and how much time is allotted
to the database. Please suggest the steps to create the analytics report and how to
improve the overall performance of the application with minimal efforts. Select 3 Options","Use the DynamoDB instead of the MongoDB as it provides better scalability
and performance.","Migrate the MongoDB from outside of the AWS to inside the AWS. This
will reduce the additional latency required to connect with the
database from the AWS environment","Integrate the AWS X-Ray and create a segment around the MongoDB
connections to measure actual latency per requests","Use ElastiCache to cache the popular or frequently used courses data
to reduce the interaction with the database","Use the AWS SQS in-front of the database connection to decouple the
application with direct database connectivity.",,"2,3&4",AWS Archi Professional,5
"A startup company has developed its on-premise SAAS product using standard
Kubernetes. Kubernetes has proved to be a success because of its feature of easily
deploying and managing containerized applications at scale. The R&D team also gained
adequate Kubernetes experiences including related tools such as kubectl. Recently, the
CTO of the company has proposed to migrate the whole product to AWS platform. How
should they design the migration with the least code modification?","Provision and run Kubernetes on powerful EC2 instance types such as c5
so that the Kubernetes deployment is fully managed.","Run Kubernetes in Amazon Elastic Container Service for Kubernetes
(EKS) without needing to provision or manage master instances","In Amazon ECR, store, encrypt, and manage container images for fast
deployment. Manage and run Kubernetes clusters in Amazon Elastic
Container Service (ECS).","Configure and run Kubernetes in AWS Fargate without having to manage
servers or clusters",,,2,AWS Archi Professional,5
"A company has an application that is hosted on an EC2 instance. The code is written
in .NET and connects to a MySQL RDS database. If you're executing .NET code against
AWS on an EC2 instance that is assigned an IAM role, which of the following is a true
statement?
Choose the correct option from the below:",The code will assume the same permissions as the EC2 role,The code must have AWS access keys in order to execute,Only .NET code can assume IAM roles,None of the above,,,1,AWS Archi Professional,5
"A company is making extensive use of S3. They have a strict security policy and require
that all artifacts are stored securely in S3. Which of the following request headers, when
specified in an API call, will cause an object to be SSE?
Choose the correct option from the below",AES256,amz-server-side-encryption,x-amz-server-side-encryption,server-side-encryption,,,3,AWS Archi Professional,5
"One of your requirements is to setup an S3 bucket to store your files like documents and
images. However, those objects should not be directly accessible via the S3 URL, they
should only be accessible from pages on your website so that only your paying customers
can see them. How could you implement this?
Choose the correct option from the below:",Use HTTPS endpoints to encrypt your data.,"You can use a bucket policy and check for the AWS: Referer key in a
condition, where that key matches your domain",You can't. The S3 URL must be public in order to use it on your website,"You can use server-side and client-side encryption, where only your
application can decrypt the objects",,,2,AWS Archi Professional,5
"A big trading company requires various organizations such as importers, exporters, banks,
shipping companies, and customs departments, to work with one another. The traderelated
paperwork need to go back and forth between the stakeholders, taking 5-10 days
to complete, which is very time-consuming. The company is considering creating a
blockchain network where all parties can transact and process trade-related paperwork
electronically without the need for a central trusted authority.
For the below descriptions, which ones help the company understand AWS Managed
Blockchain service? Choose 3","Amazon Managed Blockchain can easily scale the blockchain network
as the usage of applications on the network grows over time","Amazon Managed Blockchain eliminates the need for manually
provisioning hardware, configuring software, and setting up
networking and security components.","Amazon Managed Blockchain charges a upfront fee and requires a
commitment for a 12 months usage.","Popular blockchain frameworks including Hyperledger Fabric, Ethereum,
R3 Corda are supported in most regions","Once a new member is added, Managed Blockchain lets that member
launch and configure multiple blockchain peer nodes. A",,"1,2&5",AWS Archi Professional,5
"You are having trouble maintaining session states on some of your applications that are
using an Elastic Load Balancer(ELB). There does not seem to be an even distribution of
sessions across your ELB. Which of the following is the quickest method by AWS to try
and rectify the issues to overcome this problem that you are having?
Choose the correct option from the below:","Disable Sticky session. Use Elasticache to put session data.
Elasticache is easy to set up, manage and scale a distributed inmemory
cache environment in the cloud","Use a special cookie to track the instance for each request to each listener.
When the load balancer receives a request, it will then check to see if this
cookie is present in the request","Use the sticky session feature (also known as session affinity), which
enables the load balancer to bind a user's session to a specific instance.
This ensures that all requests from the user during the session are sent to
the same instance","If your application does not have its own session cookie, then you can
configure Elastic Load Balancing to create a session cookie by specifying
your own stickiness duration.",,,1,AWS Archi Professional,5
"You are deploying your first EC2 instance in AWS and are using the AWS console to do
this. You have chosen your AMI and your instance type and have now come to the screen
where you configure your instance details. One of the things that you need to decide is
whether you want to auto-assign a public IP address or not. You assume that if you do not
choose this option you will be able to assign an Elastic IP address later, which happens to
be a correct assumption. Which of the below options best describes why an Elastic IP
address would be preferable to a public IP address?
Choose the correct option from the below:","An Elastic IP address is free, whilst you must pay for a public IP address.","With an Elastic IP address, you can mask the failure of an instance or
software by rapidly remapping the address to another instance in your
account.","You can have an unlimited amount of Elastic IP addresses, however public
IP addresses are limited in number.","An Elastic IP address cannot be accessed from the internet like a public IP
address and hence is safer from a security standpoint.",,,2,AWS Archi Professional,5
