Sr no.,Question,Option1,Option2,Option3,Option4,Option5,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
35,"The application reliability team at your company has added a debug feature to their backend service
to send all server events to Google Cloud Storage for eventual analysis
The event records are at least 50 KB and at most 15 MB and are expected to peak at 3,000 events per
second. You want to minimize data loss. Which process should you implement?","Append metadata to file body. Compress individual files. Name files with a
random prefix pattern. Save files to one bucket","Batch every 10,000 events with a single manifest file for metadata. Compress event
files and manifest file into a single archive file. Name files using serverName-
EventSequence. Create a new bucket if bucket is older than 1 day and save the
single archive file to the new bucket. Otherwise, save the single archive file to
existing bucket.","Compress individual files. Name files with serverName-EventSequence. Save files to
one bucket Set custom metadata headers for each object after saving.","Append metadata to file body. Compress individual files. Name files with
serverName-Timestamp. Create a new bucket if bucket is older than 1 hour and save
individual files to the new bucket. Otherwise, save files to existing bucket",,1,Google cloud Certified Professional cloud Architech,5
36,"Your organization requires that metrics from all applications be retained for 5 years for future analysis
in possible legal proceedings. Which approach should you use?","Configure Stackdriver Monitoring for all Projects, and export to BigQuery.",Configure Stackdriver Monitoring for all Projects with the default retention policies.,"Configure Stackdriver Monitoring for all Projects, and export to Google Cloud
Storage.",Grant the security team access to the logs in each Project.,,3,Google cloud Certified Professional cloud Architech,5
37,"Mountkirk Games wants to set up a continuous delivery pipeline. Their architecture includes many
small services that they want to be able to update and roll back quickly.
Mountkirk Games has the following requirements:
* Services are deployed redundantly across multiple regions in the US and Europe.
* Only frontend services are exposed on the public internet.
* They can provide a single frontend IP for their fleet of services.
* Deployment artifacts are immutable.
Which set of products should they use?","Google Cloud Functions, Google Cloud Pub/Sub, Google Cloud Deployment
Manager","Google Cloud Storage, Google App Engine, Google Network Load Balancer","Google Container Registry, Google Container Engine, Google HTTP(s) Load
Balancer","Google Cloud Storage, Google Cloud Dataflow, Google Compute Engine",,3,Google cloud Certified Professional cloud Architech,5
38,"You have a mission-critical database running on an instance on Google Compute Engine. You need to
automate a database backup once per day to another disk. The database must remain fully
operational and functional and can have no downtime. How can you best perform an automated
backup of the database with minimal downtime and minimal costs?","Use a cron job to schedule your application to backup the database to another
persistent disk.",Use a cron job to schedule a disk snapshot once per day,"Write the database to two different disk locations simultaneously, then schedule a
snapshot of the secondary disk, which will allow the primary disk to continue
running.",Use the automated snapshot service on Compute Engine to schedule a snapshot.,,1,Google cloud Certified Professional cloud Architech,5
39,"For this question, refer to the JencoMart case study.
The JencoMart security team requires that all Google Cloud Platform infrastructure is deployed using
a least privilege model with separation of duties for administration between production and
development resources. What Google domain and project structure should you recommend?","Create two G Suite accounts to manage users: one for development and one for
production. Each account should contain one project for every application.","Create two G Suite accounts to manage users: one with a single project for all
development applications and one with a single project for all production
applications.","Create a single G Suite account to manage users with each stage of each
application in its own project.","Create a single G Suite account to manage users with one project for the
development environment and one project for the production environment.",,1,Google cloud Certified Professional cloud Architech,5
40,"Your company wants to reduce cost on infrequently accessed data by moving it to the cloud. The data
will still be accessed approximately once a month to refresh historical charts. In addition, data older
than 5 years is no longer needed. How should you store and manage the data?","In Google Cloud Storage and stored in a Multi-Regional bucket. Set an Object
Lifecycle Management policy to delete data older than 5 years.","In Google Cloud Storage and stored in a Multi-Regional bucket. Set an Object
Lifecycle Management policy to change the storage class to Coldline for data older
than 5 years","In Google Cloud Storage and stored in a Nearline bucket. Set an Object
Lifecycle Management policy to delete data older than 5 years.","In Google Cloud Storage and stored in a Nearline bucket. Set an Object Lifecycle
Management policy to change the storage class to Coldline for data older than 5
years.",,3,Google cloud Certified Professional cloud Architech,5
41,"For this question, refer to the JencoMart case study
A few days after JencoMart migrates the user credentials database to Google Cloud Platform and
shuts down the old server, the new database server stops responding to SSH connections. It is still
serving database requests to the application servers correctly. What three steps should you take to
diagnose the problem? Choose 3 answers.",Check inbound firewall rules for the network the machine is connected to.,"Print the Serial Console output for the instance for troubleshooting, activate the
interactive console, and investigate",Take a snapshot of the disk and connect to a new machine to investigate.,"Delete the instance, attach the disk to a new VM, and investigate.","Connect the machine to another network with very simple firewall rules and
investigate.",1&2&3,Google cloud Certified Professional cloud Architech,5
42,"For this question, refer to the Mountkirk Games case study.
Mountkirk Games’ gaming servers are not automatically scaling properly. Last month, they rolled out a
new feature, which suddenly became very popular. A record number of users are trying to use the
service, but many of them are getting 503 errors and very slow response times. What should they
investigate first?",Verify that the database is online.,Verify that the project quota hasn’t been exceeded.,Verify that the new feature code did not introduce any performance bugs.,Verify that the load-testing team is not running their tool against production.,,2,Google cloud Certified Professional cloud Architech,5
43,"Your customer is moving an existing corporate application from an on-premises data center to Google
Cloud Platform . The business owner requires minimal user disruption. There are strict security team
requirements for storing passwords. What authentication strategy should they use?",Use G Suite Password Sync to replicate passwords into Google.,Ask users to set their Google password to match their corporate password.,Provision users in Google using the Google Cloud Directory Sync tool.,Federate authentication via SAML 2.0 to the existing Identity Provider.,,3,Google cloud Certified Professional cloud Architech,5
44,"When creating firewall rules, what forms of segmentation can narrow which resources the rule is
applied to? (Choose all that apply)",Network range in source filters,Zone,Region,Network tags,,1&4,Google cloud Certified Professional cloud Architech,5
45,"You write a Python script to connect to Google BigQuery from a Google Compute Engine virtual
machine. The script is printing errors that it cannot connect to BigQuery. What should you do to fix the
script?","Run your script on a new virtual machine with the BigQuery access scope
enabled",Install the latest BigQuery API client library for Python,"Install the bq component for gccloud with the command gcloud components install
bq.","Create a new service account with BigQuery access and execute your script with
that user",,1,Google cloud Certified Professional cloud Architech,5
46,"Your company wants to try out the cloud with low risk. They want to archive approximately 100 TB of
their log data to the cloud and test the analytics features available to them there, while also retaining
that data as a long-term disaster recovery backup. Which two steps should they take? Choose 2
answers",Load logs into Google BigQuery.,Import logs into Google Stackdriver.,Insert logs into Google Cloud Bigtable.,Load logs into Google Cloud SQL.,Upload log files into Google Cloud Storage.,1&5,Google cloud Certified Professional cloud Architech,5
47,"Your solution is producing performance bugs in production that you did not see in staging and test
environments. You want to adjust your test and deployment procedures to avoid this problem in the
future. What should you do? Select one.",Deploy changes to a small subset of users before rolling out to production.,Increase the load on your test and staging environments,Deploy smaller changes to production.,Deploy fewer changes to production.,,1,Google cloud Certified Professional cloud Architech,5
48,"For this question, refer to the TerramEarth case study.
To speed up data retrieval, more vehicles will be upgraded to cellular connections and be able to
transmit data to the ETL process. The current FTP process is error-prone and restarts the data transfer
from the start of the file when connections fail, which happens often. You want to improve the
reliability of the solution and minimize data transfer time on the cellular connections. What should you
do?","Use multiple Google Container Engine clusters running FTP servers located in
different regions. Save the data to Multi-Regional buckets in US, EU, and Asia. Run
the ETL process using the data in the bucket","Directly transfer the files to a different Google Cloud Regional Storage bucket
location in US, EU, and Asia using Google APIs over HTTP(S). Run the ETL
process to retrieve the data from each Regional bucket.","Use one Google Container Engine cluster of FTP servers. Save the data to a Multi-
Regional bucket. Run the ETL process using data in the bucket.","Directly transfer the files to different Google Cloud Multi-Regional Storage bucket
locations in US, EU, and Asia using Google APIs over HTTP(S). Run the ETL process
using the data in the bucket.",,2,Google cloud Certified Professional cloud Architech,5
49,"What is the best practice for separating responsibilities and access for production and development
environments?","Separate project for each environment, each team only has access to their
project","Separate project for each environment, both teams have access to both projects.","Both environments use the same project, but different VPC's.","Both environments use the same project, just note which resources are in use by
which group.",,1,Google cloud Certified Professional cloud Architech,5
50,"Your developer currently maintains a J2EE application. What two considerations should he consider
for moving his application to the cloud to meet demand and minimize overhead? (Choose two)",Host resources in Cloud Bigtable.,Configure application for Cloud Dataproc,Re-tooling the application to run on App Engine.,Re-tool to run on managed instance group with appropriate storage backend.,,3&4,Google cloud Certified Professional cloud Architech,5
51,"You work in a small company where everyone should be able to view all resources of a specific
project. You want to grant them access following Google’s recommended practices. What should you
do?","Create a script that uses ""gcloud projects add-iam-policy-binding"" for all users’
email addresses and the Project Viewer role.","A. Create a script that uses ""gcloud iam roles create"" for all users’ email addresses
and the Project Viewer role.","Create a new Google Group and add all users to the group. Use ""gcloud
projects add-iam-policy-binding"" with the Project Viewer role and Group email
address.","Create a new Google Group and add all members to the group. Use ""gcloud iam
roles create"" with the Project Viewer role and Group email address.",,3,Google cloud Certified Professional cloud Architech,5
52,"One of your primary business objectives is being able to trust the data stored in your application. You
want to log all changes to the application data. How can you design your logging system to verify
authenticity of your logs?",Create a JSON dump of each log entry and store it in Google Cloud Storage.,Write the log concurrently in the cloud and on premises.,Digitally sign each timestamp and log entry and store the signature.,Use an SQL database and limit who can modify the log table.,,3,Google cloud Certified Professional cloud Architech,5
53,"What is the command for creating a storage bucket that has once per month access and is named
'archive_bucket'?",gsutil rm -coldline gs://archive_bucket,gsutil mb -c coldline gs://archive_bucket,gsutil mb -c nearline gs://archive_bucket,gsutil mb gs://archive_bucket,,3,Google cloud Certified Professional cloud Architech,5
54,"For this question, refer to the Dress4Win case study
Dress4Win is evaluating how their current database structure would translate to Google Cloud. They
need to know which databases can be converted to a managed service, and which ones will need to
remain unmanaged. They do not want to re-engineer their databases into a different format. Choose the two correct answers for their available options for database hosting, keeping in mind to use
managed services where applicable. (Choose two).",Host their Redis database on a Compute Engine instance.,Host Redis database on Cloud Datastore.,Host MySQL database on Cloud SQL.,Host MySQL database on a Compute Engine instance,,1&3,Google cloud Certified Professional cloud Architech,5
55,"To set up a virtual private network between your office network and Google Cloud Platform and have
the routes automatically updated when the network topology changes, what is the minimal number of
each type of component you need to implement?",2 Cloud VPN Gateways and 1 Peer Gateway,"1 Cloud VPN Gateway, 1 Peer Gateway, and 1 Cloud Router",2 Peer Gateways and 1 Cloud Router,2 Cloud VPN Gateways and 1 Cloud Router,,2,Google cloud Certified Professional cloud Architech,5
56,"You need to deploy an update to an application in Google App Engine. The update is risky, but it can
only be tested in a live environment. What is the best way to introduce the update to minimize risk?","Deploy a new version of the application but use traffic splitting to only direct a
small number of users to the new version.",Deploy the application temporarily and be prepared to pull it back if needed,"Warn users that a new app version may have issues and provide a way to contact
you if there are problems.","Create a new project with the new app version, then redirect users to the new
version.",,1,Google cloud Certified Professional cloud Architech,5
57,How are subnetworks different than the legacy networks?,"They're the same, only the branding is different.","Each subnetwork controls the IP address range used for instances that are
allocated to that subnetwork.",With subnetworks IP address allocation occurs at the global network level.,Legacy networks are the preferred way to create networks.,,2,Google cloud Certified Professional cloud Architech,5
58,"For this question, refer to the Dress4Win case study.
Dress4Win has a number of internal backends that they do not want to be exposed to the public
Internet. How can they reduce their external exposure while still allowing maintenance access to
resources when working remotely?","Remove the external IP address and use Cloud Shell to access internal-only
resources","Remove the external IP address and use a bastion host to access internal-only
resources.","Remove the external IP address and have remote employees dial into the company
VPN connection for maintenance work.","Hide the external IP address behind a load balancer and restrict load balancer
access to the internal company network.",,2,Google cloud Certified Professional cloud Architech,5
59,"You have a collection of media files over 5GB each that you need to migrate to Google Cloud Storage.
The files are in your on-premises data center. What migration method can you use to help speed up
the transfer process?",Use multi-threaded uploads using the -m option,"Use parallel uploads to break the file into smaller chunks then transfer it
simultaneously.",Use the Cloud Transfer Service to transfer.,Start a recursive upload.,,2,Google cloud Certified Professional cloud Architech,5
60,"For this question, refer to the JencoMart case study.
One of the major business goals is to expand to Asia market, so JencoMart has built a version of their
application on Google Cloud Platform that serves traffic to Asia. You want to measure success against
their business and technical goals. Which metrics should you keep track of? Select one.","Total visits, error rates, and latency from Asia",Latency difference between US and Asia,The number of character sets present in the database,Error rates for requests from Asia,Total visits and average latency for users in Asia,5,Google cloud Certified Professional cloud Architech,5
61,"A lead engineer wrote a custom tool that deploys virtual machines in the legacy data center. He wants
to migrate the custom tool to the new cloud environment. You want to advocate for the adoption of
Google Cloud Deployment Manager. What are two business risks of migrating to Cloud Deployment
Manager? Choose 2 answers",Cloud Deployment Manager requires a Google APIs service account to run,Cloud Deployment Manager APIs could be deprecated in the future.,"Cloud Deployment Manager only supports automation of Google Cloud
resources.",Cloud Deployment Manager is unfamiliar to the company's engineers,Cloud Deployment Manager uses Python,3&6,Google cloud Certified Professional cloud Architech,5
62,"Your developer group works on a set of VM's frequently throughout the day. To save costs, you
terminate the VM when it is not in use. However, you need to preserve the contents of the disk when
the VM is terminated so users can resume where they left off when a new one is created. What is the
most cost-effective way to do? (Choose two)",Set the disk to no-auto-delete to preserve contents,Back up the disk contents to Cloud Storage before deleting.,"When not in use, only stop the instance instead of deleting it.",Take a snapshot of the disk before terminating the VM.,,1&3,Google cloud Certified Professional cloud Architech,5
63,"You have created a Kubernetes engine cluster named 'mycluster'. You've realized that you need to
change the machine type for the cluster from n1-standard-1 to n1-standard-4. What is the command
to make this change?","You must create a new node pool in the same cluster and migrate the workload
to the new pool",gcloud container clusters update mycluster --machine-type n1-standard-4,This action is not possible,gcloud container clusters resize mycluster --machine-type n1-standard-4,,1,Google cloud Certified Professional cloud Architech,5
64,"You're writing a Python application and want your application to run in a sandboxed managed
environment with the ability to scale up in seconds to account for huge spikes in demand. Which
service should you host your application on?",Compute Engine,App Engine Flexible Environment,Kubernetes Engine,App Engine Standard Environment,,4,Google cloud Certified Professional cloud Architech,5
